School Name,Phone,Address
"Green Valley English School Bangalore, Karnataka","080-65834403 , 080-65834404","Chunchaghatta Mn RoadKonanakunteKanakapura Road BANGALORE(Dist) Karnataka"
"Sri Krishna International School Bangalore, Karnataka","080-26690799","No. 2 (P) I.T.I. LayoutB.S.K. III Stage BANGALORE(Dist) Karnataka Pincode - 560085"
"A.C. School Bangalore, Karnataka","","MES Ring RoadJalahalli BANGALORE(Dist) Karnataka Pincode - 560013"
"St. Francis School Bangalore, Karnataka","080-25731347","Begur RoadHongasandra BANGALORE(Dist) Karnataka Pincode - 560068"
"Nazareth School Bangalore, Karnataka","9242641178","Old ChandapuraHosur Mn RoadAnekal Taluk BANGALORE(Dist) Karnataka Pincode - 560081"
"V.L.S. International School Bangalore, Karnataka","080-23481564 , 080-42060445","7th 'B' Mn RoadSharada ColonySurvey No. 82/2Basaveshwaranagar BANGALORE(Dist) Karnataka"
"Carmel Convent School Bangalore, Karnataka","080-28439551","Carmelaram P.O. BANGALORE(Dist) Karnataka Pincode - 560035"
"Anantha Vidyaniketana Bangalore, Karnataka","080-27403075","S GardensAvathiDevanahalli Taluk BANGALORE(Dist) Karnataka Pincode - 562110"
"Nightingales English School Bangalore, Karnataka","080-26482213 , 080-26484666","No.1/B&C3rd MnB.T.M. IV Stage1st Block BANGALORE(Dist) Karnataka"
"H.A.L. Gnanajyoti School Bangalore, Karnataka","080-2540037","H.A.L. East Extension TownshipG.B.J. ColonyMarathahalli Post BANGALORE(Dist) Karnataka"
"Sidhartha International School Bangalore, Karnataka","","Sidhartha ExtensionGangondanahalli Mn RoadNagasandra Post BANGALORE(Dist) Karnataka"
"National Public School Bangalore, Karnataka","080-7801684","IgglurNear Surya CityAnekal Taluk BANGALORE(Dist) Karnataka Pincode - 560081"
"New Indus Valley Residential School Bangalore, Karnataka","080-25618590 , 080-65703784","Garden City College RoadVirgo Nagar (P)K.R. Puram BANGALORE(Dist) Karnataka"
"St. Theresa Bacq Public School Bangalore, Karnataka","080-28445994","Byathi BagalurDodda Gubbi Post BANGALORE(Dist) Karnataka"
"Nandini Vidyanikethana Bangalore Rural, Karnataka","080-27668811 , 080-27665499","Channarayapatna RoadVijayapura BANGALORE RURAL(Dist) Karnataka"
"The Valley School Bangalore Rural, Karnataka","080-28435240 , 080-28435241","HaridvanamOff Kanakapura RoadThatguni P.O. BANGALORE RURAL(Dist) Karnataka"
"Gnana Deepa Academy Residential School Bangalore Rural, Karnataka","080-27682829","MalegenahalliDevanahalli BANGALORE RURAL(Dist) Karnataka"
"Sharath Memorial School Bangalore Rural, Karnataka","080-27274758","Kempegowda CircleMagadi RoadRamanagaram BANGALORE RURAL(Dist) Karnataka"
"Vasavi Vidya Peetha Bangalore Rural, Karnataka","080-7745910","Kalya GateMagadi BANGALORE RURAL(Dist) Karnataka"
"Aditya Public School Bangalore Rural, Karnataka","080-27622700 , 080-27425001","Mythri LayoutSanjayanagarNelamangala Main RoadDoddaballapur BANGALORE RURAL(Dist) Karnataka"
"Phoenix Public Residential School Belgaum, Karnataka","0831-4203021","Honaga BELGAUM(Dist) Karnataka"
"Dnyan Prabodhan Mandir Belgaum, Karnataka","0831-6512280 , 0831-6512281","438/13 Jaitan MalNear Ashok Iron Plant - IPiranwadiUdyambag BELGAUM(Dist) Karnataka"
"St. Francis Of Assisi School Belgaum, Karnataka","08338-272670","MirjikodiChikodi BELGAUM(Dist) Karnataka"
"Sandur Girls Residential School Bellary, Karnataka","08394-244146","VyasankereHospet Taluk BELLARY(Dist) Karnataka"
"Sandur Residential School Bellary, Karnataka","08395-260246 , 08395-260196","Sandur P.O.Shivapur BELLARY(Dist) Karnataka"
"Sri Vishweshwaraiah School Bellary, Karnataka","08392-245345 , 08392-245641/2","Plot No. 823/B/2 & 823/CAllipuraHospet Road BELLARY(Dist) Karnataka"
"Basavarajeswari Public School & College Bellary, Karnataka","08392-261190 , 08392-261191","No. 890 BPatel NagarAnanthapur Road BELLARY(Dist) Karnataka"
"Pupil Tree School Bellary, Karnataka","08392-651433","5th K M StoneTalur Road BELLARY(Dist) Karnataka"
"Shanti Niketan Public School Bellary, Karnataka","08394-265887 , 08394-645208","J.P. NagarHospet BELLARY(Dist) Karnataka"
"St. Francis Icse School Chamrajnagar, Karnataka","08226-224715","BalarapatnaRamasamundra CHAMRAJNAGAR(Dist) Karnataka"
"Amber Valley Residential School Chickmagalur, Karnataka","08262-224535 , 08262-224633","P.O. Box No. 116K.M. RoadMugthihalli CHICKMAGALUR(Dist) Karnataka"
"B.G.S. World School Chikballapur, Karnataka","08156-263151-55","Village CheluvathimmanahalliP.O. Chickballapur CHIKBALLAPUR(Dist) Karnataka"
"Nazareth School Chickmagalur, Karnataka","08263-216226","Banakal PostMudigere Taluk CHICKMAGALUR(Dist) Karnataka"
"St. Ann's School Chikballapur, Karnataka","08155-285303","Gauribidanur CHIKBALLAPUR(Dist) Karnataka"
"St. Mary's International School Chickmagalur, Karnataka","08262-201122 , 08262-320654","UndedasarahalliUppalli VillageIndavara Post CHICKMAGALUR(Dist) Karnataka"
"Don Bosco School Chitradurga, Karnataka","08194-234804 , 08194-234656","P.B. No. 64N.H. 4 RoadKelagote CHITRADURGA(Dist) Karnataka"
"St. Theresa's School Dakshina Kannada, Karnataka","0824-2214278","BendurMangalore DAKSHINA KANNADA(Dist) Karnataka"
"Gem International Residential School Chikballapur, Karnataka","08155-289752","Yerragunte VillageBevinahalli GramapanchayatThondebhavi HobliGauribidanur Taluk CHIKBALLAPUR(Dist) Karnataka"
"Presidency School Dakshina Kannada, Karnataka","0824-2213305 , 0824-2213017","Survey No. 16 / P1 KelariBondathila PostKuntadkaMangalore DAKSHINA KANNADA(Dist) Karnataka"
"Sri Taralabalu School Davangere, Karnataka","08192-220117","AnubhavamantapaP.B. No. 303 DAVANGERE(Dist) Karnataka"
"Parivarthan Gurukul Heritage English Medium School Dharwad, Karnataka","9986143101","Akshaya Nagara (Gokul Road)Hubli DHARWAD(Dist) Karnataka"
"Sayyid Akbar Husayni School Gulbarga, Karnataka","08472-223939","Khaja Bandanawaz MargNear Dargah Rauza-E-buzurg GULBARGA(Dist) Karnataka"
"Anantha International School Hassan, Karnataka","08174-233384","AnanthasadanaLaxmipuraArsikere HASSAN(Dist) Karnataka"
"Rainbow Residential Public School Haveri, Karnataka","9241990521","P.B. No. 63N.H.-4 P.B. RoadKamadodRanebennur HAVERI(Dist) Karnataka"
"Oriental Primary And High School Dharwad, Karnataka","0836-2236009","MCL RoadGokul Road DHARWAD(Dist) Karnataka"
"Coorg Public School Kodagu, Karnataka","08274-247881","Post Box No. 14Gonikoppal KODAGU(Dist) Karnataka"
"Karaumbiah's Academy For Learning And Sports Kodagu, Karnataka","08274-279456","87/2KaikeriGonikoppalSouth Coorg KODAGU(Dist) Karnataka"
"General Thimmaiah Public School Kodagu, Karnataka","0958272-224830","Shree Omkareshwara Temple RoadMadikeri KODAGU(Dist) Karnataka"
"American Friendship Residential School Kolar, Karnataka","080-25280597","P.O. GudibandaRenumakalahalli KOLAR(Dist) Karnataka"
"Jyothi English Medium School Kolar, Karnataka","08154-290584","ChintamaniP.O. Box No. 34 KOLAR(Dist) Karnataka"
"Sri K.V. English School Kolar, Karnataka","08156-309582","C.V.V. Campus KOLAR(Dist) Karnataka"
"Vidya Jyothi School Kolar, Karnataka","08152-225499","Basavanatha KOLAR(Dist) Karnataka"
"Vidyanidhi Public School Kolar, Karnataka","08155-286685","B.H. RoadGauribidanur KOLAR(Dist) Karnataka"
"Sri Venu Central School Kolar, Karnataka","08157-245265","UnikiliKasaba HobliSrinivaspur KOLAR(Dist) Karnataka"
"Gnana Jyothi School Kolar, Karnataka","9242613860","NH 4M.I.T.C. ColonyV. GuttahalliMulbagal KOLAR(Dist) Karnataka"
"Sri R.V. School Kolar, Karnataka","08152-222971","R. V. GardenP. C. Hally NH - 4 Bypass KOLAR(Dist) Karnataka"
"Christ International School Kolar, Karnataka","08151-238778","AlambadyMalur KOLAR(Dist) Karnataka"
"Sapthagiri Public School Koppal, Karnataka","08533-271113","Koppal RoadVaddarahattiGangavathi KOPPAL(Dist) Karnataka"
"R.V.S.R. Central School Koppal, Karnataka","08533-283128","Survey No. 57 / AMarlanahalliGangavathi Taluk KOPPAL(Dist) Karnataka"
"S.F.S. Primary School Koppal, Karnataka","08539-201201","Hospet Road KOPPAL(Dist) Karnataka"
"De Paul International Residential School Mandya, Karnataka","08236-290340/1/2","AvverahalliBelagola P.O.Srirangapatna Taluk MANDYA(Dist) Karnataka"
"Cauvery Public School Mandya, Karnataka","08232-570633","P.B. No. 47 TubinakereJakkanally RoadRagimuddanahalliElechakanahalli Post MANDYA(Dist) Karnataka"
"Infant Jesus Cottage School Mandya, Karnataka","0821-2511045","Krishnarajpet MANDYA(Dist) Karnataka"
"Santhome Public School Mandya, Karnataka","08232-220200","KyatamgereBannur RoadKiragandur (P.O.) MANDYA(Dist) Karnataka"
"Gnanodaya Public School Mandya, Karnataka","0821-3200425","#413/4BelawadiNaguvanahalli PostSrirangapatna Taluk MANDYA(Dist) Karnataka"
"Athreya Public School Mandya, Karnataka","08232-697851","8th Cross V. V. Nagar MANDYA(Dist) Karnataka"
"Notre Dame School Mysore, Karnataka","0821-2402856","Vijayanagar IV StageHunsur RoadHinkal MYSORE(Dist) Karnataka"
"Acharya Vidya Kula Mysore, Karnataka","0821-2402150","Aloka Road Left ForkOff Mysore Madikeri Highway MYSORE(Dist) Karnataka"
"Mysore Public School Mysore, Karnataka","0821-2597640","H.D. Kote RoadRayanakere Post MYSORE(Dist) Karnataka"
"Jnanasarovara International Residential School Mysore, Karnataka","0821-2477480","ParshuramanagarBhugathanahalliVajamangala PostBannur Road MYSORE(Dist) Karnataka"
"Adhyayan School Mysore, Karnataka","0821-2476147","CA - 02Adishakthi RoadShakthinagar MYSORE(Dist) Karnataka"
"Nalanda Gurukula International Mysore, Karnataka","08223-258254","GuddenahalliKoppa PostPeriyapatna Taluk MYSORE(Dist) Karnataka"
"Daffodils Concept School Raichur, Karnataka","08535-200238","Gangavati RoadHosahalli (E.J.) CrossTq. Sindhanur RAICHUR(Dist) Karnataka"
"National Residential School Shimoga, Karnataka","08181-796344","Thirthahalli TalukKonandoor SHIMOGA(Dist) Karnataka"
"St. Joseph's Aksharadhama Shimoga, Karnataka","9743094064","Sagar RoadGadikoppa SHIMOGA(Dist) Karnataka"
"Akshara Residential School Shimoga, Karnataka","08187-290810","Kalenahalli CrossP.B. No. 09Shikaripura SHIMOGA(Dist) Karnataka"
"Bishop Sargant School Tumkur, Karnataka","0816-2252092","C.S.I.V.C. CampusB.H. Road TUMKUR(Dist) Karnataka"
"Sahyadri School Shimoga, Karnataka","08181-228810","YadehalliBettamakkiSeebinakere PostThirthalli Tq. SHIMOGA(Dist) Karnataka"
"The Presidency Public School Tumkur, Karnataka","08135-277961","42 / 1 Jyothi NagarGurukula ExtensionAmarapura RoadSira TUMKUR(Dist) Karnataka"
"Sharada Residential School Udupi, Karnataka","0820-2523129","Kunjibettu UDUPI(Dist) Karnataka"
"Varin International Residential School Tumkur, Karnataka","0816-2299500","DoddahosurKunigal RoadGulur Post TUMKUR(Dist) Karnataka"
"Vidyaniketan Public School Udupi, Karnataka","0820-2552253","Kaup UDUPI(Dist) Karnataka"
"Sri Siddhi Vinayaka Residential School Udupi, Karnataka","08254-264591","HattiangadyKundapura Taluk UDUPI(Dist) Karnataka"
"Green Park Central School Udupi, Karnataka","0820-2542404","Hiriadka UDUPI(Dist) Karnataka"
"Silas International School Udupi, Karnataka","0820-2582607","HanumanthanagarPuttur UDUPI(Dist) Karnataka"
"Glowinstar Integrated School Udupi, Karnataka","0820-2532243","Ambalpady UDUPI(Dist) Karnataka"
"Vidyodaya Public School Udupi, Karnataka","0820-252055","Vadiraja Road UDUPI(Dist) Karnataka"
"Sri Taralabalu Central School Davangere, Karnataka","08194 - 268829, 268842, 268852","Ajjihalli @PChannagiri Tq.Davanagere Dist. DAVANGERE(Dist) Karnataka Pincode - 577213"
"Sunshine Primary And High School Bangalore Rural, Karnataka","9341464134","no.32 old ews corporation colonyL.R. Nagar main roadkormangala BANGALORE RURAL(Dist) Karnataka Pincode - 560047"
"Orchids International School Bangalore, Karnataka","9008413183","Behind PF Quarters, Near HMT Theatre,Sector 2, HMT Colony,Jalahalli, Bangalore BANGALORE(Dist) Karnataka Pincode - 560013"
"Amma Hps Sarthi Davangere, Karnataka","8722651488","Sarthi(Post)Harihara (T)Davanagere DAVANGERE(Dist) Karnataka Pincode - 577601"
"Basava Residential Girls School Bangalore Rural, Karnataka","9341239686","The Headmistress,DoddabeleKengeriBangalore BANGALORE RURAL(Dist) Karnataka Pincode - 560060"
"Smt.Parvathamma Shamanur Shivashankarappa English Medium Residential School Davangere, Karnataka","080208434","Shivagangotri, Tolahunse, P.B. 252, Davangere (Dis DAVANGERE(Dist) Karnataka Pincode - 577002"
"Being Child Bangalore, Karnataka","9886354123","302 Swastik House,Amar Jyothy LayoutDomlur BANGALORE(Dist) Karnataka Pincode - 560071"
"Little Millennium K R Puram Bangalore, Karnataka","9741076677","14, 2nd Cross, 4th Main, Vinayaka Layout, Behind Domino's, Bhattarahalli, K R PuramBangalore BANGALORE(Dist) Karnataka Pincode - 560049"
"The New Cambridge English School Bangalore, Karnataka","080-23301404/99 , 080-23301578","R.P.C. LayoutVijaya Nagar BANGALORE(Dist) Karnataka"
"St. Philomena's English Primary School Bangalore, Karnataka","080-23456443","DoddabommasandraVidyaranyapuraMn RoadJalahalli BANGALORE(Dist) Karnataka"
"Ryan International School Bangalore, Karnataka","080-28476963","Behind H.L.L. Ltd.Near A.E.C.S. LayoutKundalahalliM.H. Colony BANGALORE(Dist) Karnataka Pincode - 560037"
